iter	MultiClass
0	1.68629059
1	1.598979056
2	1.528793374
3	1.477684414
4	1.430367262
5	1.389520083
6	1.357016612
7	1.32788298
8	1.298954605
9	1.275351702
10	1.254062226
11	1.230695375
12	1.209771502
13	1.193409867
14	1.181237423
15	1.168094561
16	1.154225562
17	1.139231709
18	1.128393898
19	1.119976878
20	1.108056588
21	1.100321077
22	1.090768745
23	1.080720583
24	1.072085928
25	1.065081567
26	1.057432214
27	1.04891593
28	1.043679577
29	1.036563404
30	1.030656687
31	1.024673572
32	1.020622591
33	1.015192674
34	1.012080695
35	1.007324398
36	1.001713546
37	0.9973494282
38	0.9925567089
39	0.9882695674
40	0.9828054479
41	0.9780982089
42	0.9737718126
43	0.9687247192
44	0.9660556564
45	0.959812994
46	0.9561404936
47	0.9537579744
48	0.9480573934
49	0.9440007816
50	0.9399777611
51	0.9356906848
52	0.9298086815
53	0.9255677932
54	0.9227840719
55	0.9195041354
56	0.9163752254
57	0.91357049
58	0.911435612
59	0.9071965666
60	0.9042994544
61	0.9004956687
62	0.8974900758
63	0.8950607971
64	0.8931102684
65	0.8897850908
66	0.8861759984
67	0.8839145374
68	0.881558562
69	0.8791808463
70	0.8762510433
71	0.8727955033
72	0.8711224926
73	0.8687847834
74	0.866626804
75	0.8640108676
76	0.8617170598
77	0.8591834861
78	0.8562988554
79	0.8542162299
80	0.850631996
81	0.8473542544
82	0.8445845113
83	0.8426427654
84	0.8403331204
85	0.8383363432
86	0.8347075752
87	0.8311548699
88	0.8290273117
89	0.8255632855
90	0.8238500415
91	0.8205980332
92	0.8188682841
93	0.8176085733
94	0.8143505039
95	0.8105402589
96	0.8082065939
97	0.8060701468
98	0.8035353133
99	0.800208917
100	0.7960229118
101	0.7940664488
102	0.7912455649
103	0.7871750302
104	0.7843551111
105	0.7811925501
106	0.7792833496
107	0.7766589782
108	0.7737640929
109	0.7713398379
110	0.767982583
111	0.765665936
112	0.7642535915
113	0.7621197543
114	0.7606432774
115	0.7589616377
116	0.7568114407
117	0.7534563769
118	0.7519219339
119	0.7495485495
120	0.7466538635
121	0.7437273803
122	0.7421846377
123	0.740354826
124	0.7378557121
125	0.7362049062
126	0.7331912997
127	0.730403262
128	0.7285753892
129	0.7256482292
130	0.7248053634
131	0.7234050293
132	0.7215931408
133	0.7200299549
134	0.718372752
135	0.7172602029
136	0.7159744145
137	0.7140241546
138	0.7121216509
139	0.7103318113
140	0.7094932749
141	0.7082672685
142	0.7062147765
143	0.7048434665
144	0.7033109366
145	0.7015293348
146	0.7005601482
147	0.6989579111
148	0.6976837942
149	0.6964123095
150	0.6946948245
151	0.6937834946
152	0.6922956308
153	0.6905575769
154	0.6892343548
155	0.6874467667
156	0.6858636367
157	0.6842501305
158	0.681568358
159	0.6798480965
160	0.6778986305
161	0.6767420454
162	0.6745885926
163	0.6727053546
164	0.671586177
165	0.6694570724
166	0.6685190602
167	0.6670790596
168	0.665463825
169	0.6641817797
170	0.6629891512
171	0.6613667467
172	0.6598640755
173	0.6577895108
174	0.6571657556
175	0.6566315006
176	0.6551514147
177	0.6539821013
178	0.6529731296
179	0.6511480924
180	0.6498626194
181	0.6486955721
182	0.6476549778
183	0.6462897747
184	0.6450412923
185	0.6438930989
186	0.6428932587
187	0.6415072729
188	0.6400683283
189	0.6383963264
190	0.6375028753
191	0.6367216223
192	0.6346403184
193	0.6341207739
194	0.6324213992
195	0.6314264993
196	0.6303835828
197	0.6290522959
198	0.6280010287
199	0.6263576145
200	0.6242949537
201	0.6233588543
202	0.6224231887
203	0.6215826244
204	0.6206755995
205	0.6186095507
206	0.617319457
207	0.6160293336
208	0.6146870243
209	0.6136806327
210	0.6126909921
211	0.6110276165
212	0.6098658414
213	0.6089254819
214	0.6076688408
215	0.6061815141
216	0.6050156873
217	0.6032408034
218	0.6024311617
219	0.6011937362
220	0.5999878174
221	0.5988136954
222	0.597422345
223	0.5960205582
224	0.5949133394
225	0.5939935702
226	0.5930494612
227	0.5919471054
228	0.59085611
229	0.5898767228
230	0.5878451311
231	0.5866993279
232	0.5855433038
233	0.5844617354
234	0.5834890413
235	0.5825258396
236	0.5814587749
237	0.5804576872
238	0.5799438229
239	0.5790136801
240	0.5779218468
241	0.576383353
242	0.5753775391
243	0.5745799489
244	0.5740476689
245	0.5732486625
246	0.5722284228
247	0.5711554746
248	0.5701743312
249	0.5689643553
250	0.5680552568
251	0.5668029885
252	0.5651862159
253	0.5643332586
254	0.5634190174
255	0.5621703441
256	0.5611626185
257	0.5602874801
258	0.5598094566
259	0.5587948722
260	0.5579670768
261	0.5565115464
262	0.5557085471
263	0.554644517
264	0.5537621774
265	0.5528156758
266	0.5518541202
267	0.5505908096
268	0.5498434902
269	0.5482645692
270	0.5473325194
271	0.5465005174
272	0.545490864
273	0.5446164273
274	0.5426961692
275	0.5415714295
276	0.5404229343
277	0.5390918815
278	0.5381705686
279	0.5369449353
280	0.5362459006
281	0.5349620152
282	0.5340506103
283	0.5331940439
284	0.5321607071
285	0.5314239888
286	0.5308561582
287	0.5299319941
288	0.5291657564
289	0.5282967723
290	0.5274885701
291	0.5267649138
292	0.5261688816
293	0.5252100805
294	0.5244348618
295	0.5227139948
296	0.5218568174
297	0.5211963344
298	0.5207181459
299	0.5198933146
300	0.5186238983
301	0.5176692074
302	0.5167320608
303	0.5162446534
304	0.5150577512
305	0.5142388445
306	0.5126392826
307	0.5119748151
308	0.5113759959
309	0.5107081756
310	0.5099299404
311	0.5090373113
312	0.5075220665
313	0.5065968625
314	0.5056787785
315	0.5052741361
316	0.5041453164
317	0.503162547
318	0.5020948151
319	0.5012384217
320	0.499854535
321	0.4988395707
322	0.4982241317
323	0.4977637406
324	0.4971783154
325	0.4962888002
326	0.4952667254
327	0.4948730298
328	0.4942972797
329	0.4927195144
330	0.4919515006
331	0.491008414
332	0.4902077889
333	0.4894469002
334	0.4882901988
335	0.487041942
336	0.486261591
337	0.4853319732
338	0.4841010467
339	0.4833220306
340	0.4825070467
341	0.4816612223
342	0.4803669016
343	0.4795407893
344	0.4783973371
345	0.4768495168
346	0.4761521463
347	0.4753593204
348	0.4748593565
349	0.4738912415
350	0.4726788061
351	0.472012653
352	0.4710484034
353	0.4703463902
354	0.4699049793
355	0.4686703107
356	0.4679823775
357	0.467229921
358	0.4658276198
359	0.4646398168
360	0.4638749337
361	0.4634827588
362	0.463146436
363	0.462342227
364	0.4616667186
365	0.4611560698
366	0.4603165198
367	0.4597753533
368	0.4591779724
